0,6510319.215,1426038.256,1892416.684,-2594.253067,4289.527886,5692.395768
60,6340723.627,1680146.660,2229617.916,-3056.883757,4177.707484,5543.593814
120,6143758.917,1927002.934,2557168.634,-3506.228789,4047.878665,5370.829948
180,5920280.697,2165543.261,2873653.388,-3940.349890,3900.610413,5174.863334
240,5671258.850,2394740.225,3177705.297,-4357.377564,3736.546595,4956.553041
300,5397773.169,2613607.208,3468011.914,-4755.519051,3556.402822,4716.853848
360,5101008.519,2821202.600,3743320.841,-5133.065847,3360.963021,4456.811652
420,4782249.571,3016633.781,4002445.040,-5488.400737,3151.075731,4177.558526
480,4442875.126,3199060.884,4244267.855,-5820.004334,2927.650171,3880.307464
540,4084352.060,3367700.316,4467747.698,-6126.461111,2691.652103,3566.346837
600,3708228.928,3521828.014,4671922.401,-6406.464915,2444.099504,3237.034624
660,3316129.245,3660782.452,4855913.215,-6658.823955,2186.058103,2893.792428
720,2909744.490,3783967.362,5018928.440,-6882.465282,1918.636768,2538.099318
780,2490826.852,3890854.189,5160266.690,-7076.438753,1642.982805,2171.485537
840,2061181.760,3980984.246,5279319.766,-7239.920493,1360.277156,1795.526080
900,1622660.208,4053970.592,5375575.150,-7372.215867,1071.729533,1411.834184
960,1177150.931,4109499.609,5448618.100,-7472.761961,778.573490,1022.054738
1020,726572.432,4147332.282,5498133.353,-7541.129607,482.061454,627.857637
1080,272864.915,4167305.184,5523906.420,-7577.024923,183.459718,230.931081
1140,-182017.871,4169331.154,5525824.486,-7580.290417,-115.956595,-167.025157
1200,-636116.837,4153399.680,5503876.900,-7550.905626,-414.908585,-564.306494
