utc,elapsed_s,x_m,y_m,z_m
2027-04-01T01:08:00.000Z,4080.0,-145673.634,-4359832.367,-5371140.528
2027-04-01T01:09:00.000Z,4140.0,292557.812,-4260888.280,-5444439.462
2027-04-01T01:10:00.000Z,4200.0,729526.595,-4143550.832,-5494170.920
2027-04-01T01:11:00.000Z,4260.0,1163347.084,-4008330.396,-5520124.762
2027-04-01T01:12:00.000Z,4320.0,1592147.902,-3855813.794,-5522193.138
2027-04-01T01:13:00.000Z,4380.0,2014079.817,-3686661.751,-5500370.861
2027-04-01T01:14:00.000Z,4440.0,2427323.543,-3501606.061,-5454755.363
2027-04-01T01:15:00.000Z,4500.0,2830097.403,-3301446.465,-5385546.240
2027-04-01T01:16:00.000Z,4560.0,3220664.848,-3087047.265,-5293044.386
2027-04-01T01:17:00.000Z,4620.0,3597341.786,-2859333.670,-5177650.721
2027-04-01T01:18:00.000Z,4680.0,3958503.719,-2619287.902,-5039864.510
2027-04-01T01:19:00.000Z,4740.0,4302592.640,-2367945.057,-4880281.281
2027-04-01T01:20:00.000Z,4800.0,4628123.674,-2106388.754,-4699590.353
2027-04-01T01:21:00.000Z,4860.0,4933691.438,-1835746.559,-4498571.963
2027-04-01T01:22:00.000Z,4920.0,5217976.093,-1557185.236,-4278094.015
2027-04-01T01:23:00.000Z,4980.0,5479749.052,-1271905.799,-4039108.457
2027-04-01T01:24:00.000Z,5040.0,5717878.332,-981138.420,-3782647.281
2027-04-01T01:25:00.000Z,5100.0,5931333.516,-686137.188,-3509818.182
2027-04-01T01:26:00.000Z,5160.0,6119190.296,-388174.745,-3221799.875
2027-04-01T01:27:00.000Z,5220.0,6280634.583,-88536.830,-2919837.076
2027-04-01T01:28:00.000Z,5280.0,6414966.147,211483.264,-2605235.200
2027-04-01T01:29:00.000Z,5340.0,6521601.780,510590.275,-2279354.753
2027-04-01T01:30:00.000Z,5400.0,6600077.949,807492.593,-1943605.474
2027-04-01T01:31:00.000Z,5460.0,6650052.928,1100907.880,-1599440.239
2027-04-01T01:32:00.000Z,5520.0,6671308.393,1389568.664,-1248348.747
2027-04-01T01:33:00.000Z,5580.0,6663750.469,1672227.879,-891851.036
2027-04-01T01:34:00.000Z,5640.0,6627410.214,1947664.326,-531490.841
2027-04-01T01:35:00.000Z,5700.0,6562443.546,2214688.027,-168828.833
2027-04-01T01:36:00.000Z,5760.0,6469130.593,2472145.445,194564.220
2027-04-01T01:37:00.000Z,5820.0,6347874.493,2718924.537,557114.349
2027-04-01T01:38:00.000Z,5880.0,6199199.617,2953959.620,917251.293
2027-04-01T01:39:00.000Z,5940.0,6023749.261,3176236.035,1273415.395
2027-04-01T01:40:00.000Z,6000.0,5822282.780,3384794.560,1624064.428
2027-04-01T01:41:00.000Z,6060.0,5595672.222,3578735.580,1967680.358
2027-04-01T01:42:00.000Z,6120.0,5344898.439,3757222.972,2302775.960
2027-04-01T01:43:00.000Z,6180.0,5071046.731,3919487.701,2627901.304
2027-04-01T01:44:00.000Z,6240.0,4775302.030,4064831.105,2941650.036
2027-04-01T01:45:00.000Z,6300.0,4458943.654,4192627.859,3242665.468
2027-04-01T01:46:00.000Z,6360.0,4123339.665,4302328.601,3529646.409
2027-04-01T01:47:00.000Z,6420.0,3769940.851,4393462.227,3801352.747
2027-04-01T01:48:00.000Z,6480.0,3400274.378,4465637.824,4056610.738
2027-04-01T01:49:00.000Z,6540.0,3015937.130,4518546.259,4294317.989
2027-04-01T01:50:00.000Z,6600.0,2618588.778,4551961.409,4513448.117
2027-04-01T01:51:00.000Z,6660.0,2209944.607,4565741.037,4713055.072
2027-04-01T01:52:00.000Z,6720.0,1791768.136,4559827.308,4892277.095
2027-04-01T01:53:00.000Z,6780.0,1365863.565,4534246.956,5050340.326
2027-04-01T01:54:00.000Z,6840.0,934068.066,4489111.098,5186562.022
2027-04-01T01:55:00.000Z,6900.0,498243.974,4424614.701,5300353.401
2027-04-01T01:56:00.000Z,6960.0,60270.882,4341035.715,5391222.088
2027-04-01T01:57:00.000Z,7020.0,-377962.313,4238733.861,5458774.173
2027-04-01T01:58:00.000Z,7080.0,-814565.391,4118149.100,5502715.857
2027-04-01T01:59:00.000Z,7140.0,-1247654.796,3979799.774,5522854.702
2027-04-01T02:00:00.000Z,7200.0,-1675361.583,3824280.439,5519100.469
2027-04-01T02:01:00.000Z,7260.0,-2095839.320,3652259.387,5491465.546
2027-04-01T02:02:00.000Z,7320.0,-2507271.909,3464475.870,5440064.964
2027-04-01T02:03:00.000Z,7380.0,-2907881.284,3261737.037,5365115.999
2027-04-01T02:04:00.000Z,7440.0,-3295934.995,3044914.588,5266937.357
2027-04-01T02:05:00.000Z,7500.0,-3669753.611,2814941.158,5145947.953
2027-04-01T02:06:00.000Z,7560.0,-4027717.941,2572806.439,5002665.262
2027-04-01T02:07:00.000Z,7620.0,-4368276.035,2319553.054,4837703.272
2027-04-01T02:08:00.000Z,7680.0,-4689949.938,2056272.191,4651770.020
2027-04-01T02:09:00.000Z,7740.0,-4991342.165,1784099.018,4445664.721
2027-04-01T02:10:00.000Z,7800.0,-5271141.872,1504207.886,4220274.501
